,timestep (1d),Proton_density,Electron_density
0,2012-01-07T00:03:00,6.04,3.8121202
1,2012-01-08T00:03:00,3.345,2.6903992
2,2012-01-09T00:03:00,5.595,3.9420097
3,2012-01-10T00:03:00,4.875,3.5532996
4,2012-01-11T00:03:00,4.8200002,3.137158
10,2012-01-17T00:03:00,5.7650001,4.049045
11,2012-01-18T00:03:00,3.465,2.9770029
12,2012-01-19T00:03:00,4.145,3.4852892
13,2012-01-20T00:03:00,5.5500002,4.3455146
14,2012-01-21T00:03:00,3.9300001,2.581544
15,2012-01-22T00:03:00,12.92,5.3275164
16,2012-01-23T00:03:00,3.6949999,6.5602833
17,2012-01-24T00:03:00,3.295,3.7797055
18,2012-01-25T00:03:00,3.48,3.9344305
19,2012-01-26T00:03:00,2.0799999,1.9150131
20,2012-01-27T00:03:00,1.43,1.4205403
21,2012-01-28T00:03:00,2.49,1.8786625
22,2012-01-29T00:03:00,3.8000001,3.4544738
23,2012-01-30T00:03:00,3.8,2.3790275
24,2012-01-31T00:03:00,13.98,9.2952516
32,2012-02-08T00:03:00,5.5550001,4.7048241
34,2012-02-10T00:03:00,6.355,5.143599
35,2012-02-11T00:03:00,5.845,4.2670159
36,2012-02-12T00:03:00,7.5699999,7.0766742
37,2012-02-13T00:03:00,6.385,4.0422671
38,2012-02-14T00:03:00,23.91,11.965613
39,2012-02-15T00:03:00,3.9050001,2.7724041
40,2012-02-16T00:03:00,6.085,3.658175
41,2012-02-17T00:03:00,5.3600001,3.9934971
42,2012-02-18T00:03:00,6.5049999,3.1377393
43,2012-02-19T00:03:00,22.615,14.879977
44,2012-02-20T00:03:00,9.9450002,6.3388278
45,2012-02-21T00:03:00,2.4450001,2.1788872
46,2012-02-22T00:03:00,5.155,4.036966
47,2012-02-23T00:03:00,2.505,1.7346958
48,2012-02-24T00:03:00,6.075,3.4784638
49,2012-02-25T00:03:00,5.1299999,3.6461006
50,2012-02-26T00:03:00,5.0650001,3.6980435
51,2012-02-27T00:03:00,17.025,12.793236
52,2012-02-28T00:03:00,5.575,3.025857
53,2012-02-29T00:03:00,4.425,3.48928
54,2012-03-01T00:03:00,4.4749999,3.7573559
55,2012-03-02T00:03:00,3.41,2.4769241
56,2012-03-03T00:03:00,4.22,2.2946899
57,2012-03-04T00:03:00,3.3900001,2.7814385
58,2012-03-05T00:03:00,4.325,3.0632358
59,2012-03-06T00:03:00,5.2549999,4.7197905
65,2012-03-12T00:03:00,8.0250001,6.4655821
66,2012-03-13T00:03:00,1.125,1.37507
67,2012-03-14T00:03:00,0.66499999,0.76113723
68,2012-03-15T00:03:00,0.90000001,1.0601821
69,2012-03-16T00:03:00,4.8399999,3.2636892
70,2012-03-17T00:03:00,2.0699999,1.4886492
71,2012-03-18T00:03:00,2.3,1.1503317
72,2012-03-19T00:03:00,3.21,1.6948941
73,2012-03-20T00:03:00,1.895,1.3781517
74,2012-03-21T00:03:00,3.6099999,1.4768956
75,2012-03-22T00:03:00,5.1599998,2.7451334
76,2012-03-23T00:03:00,9.9550004,12.13191
77,2012-03-24T00:03:00,10.05,6.8023984
78,2012-03-25T00:03:00,4.5049999,3.9543614
79,2012-03-26T00:03:00,3.6950001,3.1050995
80,2012-03-27T00:03:00,12.61,8.9835507
81,2012-03-28T00:03:00,10.025,6.328246
82,2012-03-29T00:03:00,4.95,3.2674928
83,2012-03-30T00:03:00,8.5149999,6.4035212
